大分類,題號,正式問題,同義問法,標準回答,轉真人條件,備註
產品基本介紹,產品基本介紹-01,這個 APP 是做什麼的？,智慧眼鏡 APP 是做什麼、APP 功能是什麼、這個 APP 可以幹嘛,本 APP 主要提供智慧眼鏡相關的產品介紹、教學影片、AI 問答、聯絡導流與預約了解功能，協助使用者更方便地了解產品特色、使用方式與日常應用情境。,若使用者問到未上線功能、會員、購物、金流，需說明第一版未提供並視需求轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-02,智慧眼鏡一定要搭配 APP 使用嗎？,一定要下載 APP 嗎、沒有 APP 可以用嗎、不裝 APP 可以用嗎,建議搭配 APP 使用。透過 APP 可啟用更多 AI 功能與使用支援，例如產品資訊、教學內容、AI 問答、翻譯相關功能與聯絡協助。實際可用功能仍以設備型號與 APP 版本為準。,若使用者追問某型號是否完全可離線使用，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-03,APP 第一版目前提供哪些功能？,現在有哪些功能、第一版能做什麼、APP 目前內容有什麼,第一版以產品介紹、產品目錄、產品說明、教學影片、AI 問答、品牌資訊、聯絡客服與預約了解為核心，不提供會員、購物車、金流或複雜後台功能。,若使用者問到未確認的新功能上線時間，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-04,這個 APP 適合誰使用？,誰適合用、哪些人適合、什麼族群適合,適合想了解智慧眼鏡產品、需要翻譯或會議記錄應用、重視通話與日常音訊體驗、或希望先透過 APP 了解產品再安排諮詢的使用者。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-05,APP 裡面會有產品目錄嗎？,有產品列表嗎、可以看產品嗎、能比較型號嗎,會。APP 會提供產品目錄與產品介紹，協助使用者查看不同智慧眼鏡的定位、特色、適用情境與基本差異。,若使用者要求完整規格比較表但 APP 尚未顯示，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-06,APP 裡面會有教學內容嗎？,有教學影片嗎、有新手教學嗎、怎麼看教學,會。APP 內會提供教學影片與相關使用支援內容，協助使用者更快了解基本操作與常見問題。,若使用者指定某支影片內容或找不到影片，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-07,APP 裡的 AI 問答可以問什麼？,AI 可以回答哪些問題、AI 客服能問什麼、可以直接問嗎,AI 問答主要用來回答智慧眼鏡產品、基本功能、使用方式、常見問題、聯絡導流與預約相關問題。若涉及價格、維修判定、法律或醫療建議，將建議轉由真人客服協助。,若問題超出知識庫範圍，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-08,這個 APP 是購物 APP 嗎？,可以直接下單嗎、有購物車嗎、能直接買嗎,目前第一版不是購物 APP，主要以產品介紹、教學支援、AI 問答與聯絡導流為主。若您想進一步了解產品，可透過 LINE、電話或預約功能與客服聯繫。,若使用者詢問購買流程、付款方式、訂單處理，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
產品基本介紹,產品基本介紹-09,這個 APP 支援 Android 跟 iPhone 嗎？,安卓可以用嗎、iOS 可以用嗎、雙平台都有嗎,本專案規劃為支援 Android 與 iOS 雙平台。實際可下載與相容版本，請以正式上架資訊與裝置顯示為準。,若使用者問到最低系統版本或特定手機型號相容性，轉真人。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
型號差異與怎麼選,型號差異與怎麼選-01,目前主推有哪些型號？,有哪些款式、目前主打哪幾支、有哪些智慧眼鏡,目前第一版主推 4 款智慧眼鏡：TBI1001 圓形智慧音訊眼鏡、TBI1002 方形智慧音訊眼鏡、TBM1003 圓形金屬智慧音訊眼鏡、TBM1004 方形金屬智慧音訊眼鏡。,無。,首版知識庫建議採保守回答；若 APP 顯示、客服說明或實際銷售版本不同，請以最新公告或真人客服為準。
