標準詞,同義詞,常見錯字,導向分類/Intent,備註
藍牙,"藍芽, Bluetooth, BT","藍芽,藍呀,藍牙牙",開機、連線與配對,標準詞統一為藍牙
連線,"連接, 配對, 連手機, 綁定, 搜尋設備","聯線,連現,聯現",開機、連線與配對,可導向 connection intent
配對失敗,"連不上, 連不到, 配對不成功, 抓不到裝置","配對失敗敗, 陪對失敗",開機、連線與配對,視為連線異常
找不到裝置,"搜不到, 抓不到眼鏡, 沒看到設備","找不道裝置, 找不到裝至",開機、連線與配對,視為裝置搜尋失敗
斷線,"一直斷, 不穩, 連一下就掉","段線, 短線",開機、連線與配對,導向連線不穩
開機,"啟動, 打開, 開啟設備","開機機, 凱機",開機、連線與配對,先確認有電
iPhone,"蘋果手機, iOS 手機","iphonee, ifone",開機、連線與配對,作業系統詞
Android,"安卓, Android 手機","andriod, 安卓卓",開機、連線與配對,作業系統詞
充電,"補電, 插電, 充電器, 充電線","沖電, 充店",充電、電量與續航,導向充電 intent
充不進去,"不能充電, 沒有充到, 插了沒反應","衝不進去, 充不近去",充電、電量與續航,高優先異常
充電燈沒亮,"沒亮燈, 燈沒反應","燈沒量, 充電燈沒量",充電、電量與續航,異常排除
續航,"能用多久, 撐多久, 電池多久","續行, 續杭",充電、電量與續航,統一導向續航
電量,"剩多少電, 還有幾趴, 電池剩多少","店量, 電亮",充電、電量與續航,APP 電量顯示
省電,"延長續航, 比較耐用, 怎麼撐久一點",省店,充電、電量與續航,導向省電建議
通話,"講電話, 接電話, 來電","通畫, 通話話",通話、聲音與降噪,導向通話
沒聲音,"聽不到, 沒有聲音, 出不來","沒生音, 沒聲因",通話、聲音與降噪,導向音訊異常
小聲,"太小聲, 音量太低, 聽不清楚","小生, 小聲聲",通話、聲音與降噪,導向音量異常
降噪,"降躁, 抗噪, ENC","降燥, 降造",通話、聲音與降噪,標準詞統一為降噪
漏音,"別人聽得到, 會吵到別人嗎",漏因,通話、聲音與降噪,導向漏音疑慮
音樂,"聽歌, 播音樂, 放歌",因樂,通話、聲音與降噪,音訊播放
翻譯,"即時翻譯, 翻英文, 翻日文, 語言切換","番譯, 繙譯",AI 功能與翻譯應用,翻譯核心詞
同聲傳譯,"同步翻譯, 邊講邊翻, 會議翻譯","同聲傳意, 同生傳譯",AI 功能與翻譯應用,導向同傳
拍照翻譯,"照片翻譯, 拍文字翻譯, 菜單翻譯",拍照番譯,AI 功能與翻譯應用,導向拍照翻譯
會議記錄,"會議紀錄, 開會記錄, 會議摘要","會議記入, 會議紀路",AI 功能與翻譯應用,紀錄/記錄皆視為同義
錄音轉文字,"轉逐字稿, 語音轉文字, 轉文字","路音轉文字, 錄因轉文字",AI 功能與翻譯應用,導向語音轉文字
AI 問答,"AI 客服, 智慧問答, 機器人","AI問達, AI問答答",AI 功能與翻譯應用,總入口詞
不準,"有錯, 不正確, 怪怪的","不准, 不淮",AI 功能與翻譯應用,導向準確度提醒
故障,"壞掉, 異常, 有問題, 怪怪的","古障, 故章",故障排除與異常處理,總入口詞
發熱,"很燙, 過熱, 發燙",發熱熱,故障排除與異常處理,高風險
閃退,"跳掉, 打不開 APP, 一直退出","閃褪, 閃推",故障排除與異常處理,APP 異常
保固,"保修, 保養, 保證期",保固固,保固、售後與維修,標準詞統一為保固
一年保固,"保固一年, 一年內有保嗎",一年保固固,保固、售後與維修,摘要規則
非人為損壞,"不是我弄壞, 自然壞掉, 正常使用壞掉",非人圍損壞,保固、售後與維修,可免費更換原則
免費更換,"換新, 免費換, 直接換一支",免費更換換,保固、售後與維修,需人工判定
維修,"送修, 修理, 檢修",維休,保固、售後與維修,導向售後
人為損壞,"摔到, 泡水, 壓壞, 自己弄壞",人圍損壞,保固、售後與維修,直接轉真人
客服,"真人客服, 專人, 客服人員","克服, 客福",預約了解、聯絡客服與門市資訊,總入口詞
LINE,"賴, 官方 LINE, 加 LINE","linee, 賴恩",預約了解、聯絡客服與門市資訊,標準詞統一為 LINE
電話,"打電話, 客服電話, 聯絡電話",店話,預約了解、聯絡客服與門市資訊,聯絡方式
預約,"預約了解, 預約諮詢, 預約門市",預約約,預約了解、聯絡客服與門市資訊,總入口詞
門市,"店面, 現場, 到店",門事,預約了解、聯絡客服與門市資訊,到店導流
地址,"在哪裡, 店在哪, 門市地址",地只,預約了解、聯絡客服與門市資訊,地點資訊
沒回覆,"沒人回, 都沒回, 已讀不回",沒回復,預約了解、聯絡客服與門市資訊,客服追蹤
價格,"售價, 多少錢, 報價, 優惠","價各, 架格",禁止直接回答,一律轉真人
庫存,"現貨, 有沒有貨, 還有貨嗎",庫存存,禁止直接回答,一律轉真人
交期,"多久到, 何時到貨, 什麼時候拿到",交琪,禁止直接回答,一律轉真人
醫療,"治療, 改善疾病, 醫療用途",醫遼,禁止直接回答,法規高風險
法律,"違法嗎, 合法嗎, 可不可以錄音",法率,禁止直接回答,法律風險
正式文件,"證明, 法律效力, 當證據",正是文件,禁止直接回答,禁止保證
