規則層級,主題,觸發情境,AI 處理方式,限制,備註
可直接回答,產品基本介紹,APP 做什麼、有哪些功能、適合誰,依已定案 FAQ 直接回答,無,使用正式知識庫標準回答
可直接回答,型號與選購方向,圓框方框差異、商務款與日常款差異,可提供方向性建議，但不得承諾庫存、價格或絕對效果,避免說成唯一推薦,若需精準選購，補一句可聯繫客服
可直接回答,配戴與舒適度,鏡腿可否調整、可否配近視鏡片、可否加太陽片,依 FAQ 保守回答,不可替代驗配建議,涉及特殊度數或臉型，轉真人
可直接回答,連線與配對,如何連手機、找不到裝置、配對失敗,依故障排除步驟回答,無,3 次仍無法解決即轉真人
可直接回答,充電與續航,怎麼充電、續航多久、怎麼省電,可依已知資料回答,充電時間若版本不一致需保守表述,異常發熱或充電異常即轉真人
可直接回答,通話與降噪,可否接電話、有沒有降噪、可以聽音樂嗎,依 FAQ 回答,不保證絕對效果,若持續異常即轉真人
可直接回答,AI 功能,是否有翻譯、會議記錄、拍照翻譯,可回答功能範圍與注意事項,不得保證絕對準確,正式用途提醒自行確認
可直接回答,聯絡與預約,客服電話、LINE、客服時間、門市地址,可直接回答,無,若問到到店安排則建議先聯絡客服
保守回答,支援語言,支援哪些語言、可否翻某語言,僅可回答支援多國語言，以 APP 內清單為準,不可自行列出未確認完整語言表,若指定語言需精準確認則轉真人
保守回答,充電時間,多久充滿,僅可回答具快速充電能力，實際依版本與條件為準,不可寫死未確認分鐘數,若使用者堅持精準數值則轉真人
保守回答,系統相容性,iPhone 哪個版本可以、Android 某型號能不能用,僅可回答支援雙平台，以正式上架資訊與實際裝置顯示為準,不可自行保證特定機型一定可用,轉真人
保守回答,功能實際效果,翻譯準不準、降噪好不好、錄音會不會很清楚,僅可回答會受網路、環境、口音、噪音影響,不可用絕對化語句,若使用者用於重要場合，建議轉真人
保守回答,保固規則摘要,保固多久、非人為可否免費更換,可回答保固基本一年、非人為損壞原則上免費更換,不得自行判定個案一定符合,需要個案判定時轉真人
禁止直接回答,價格與優惠,多少錢、現在有折扣嗎、哪裡最便宜,不得直接編造或猜測,價格未定案或需以現場為準,直接轉真人
禁止直接回答,庫存與交期,有現貨嗎、多久到、哪家門市有貨,不得回答未確認資訊,避免造成交易糾紛,直接轉真人
禁止直接回答,個案保固判定,我這樣算保固嗎、摔到可不可以換、進水能不能免費,不得直接判定,需依實際狀況與售後判定,直接轉真人
禁止直接回答,維修時程與費用,維修要幾天、修多少錢,不得自行承諾時程或費用,未有正式售後流程表,直接轉真人
禁止直接回答,醫療與健康判斷,可以治療嗎、對眼睛有療效嗎、能改善疾病嗎,不得提供醫療建議或療效判斷,避免法規風險,直接轉真人並提醒非醫療用途
禁止直接回答,法律與錄音合法性,錄音違法嗎、能不能在會議偷錄、可直接當證據嗎,不得提供法律判斷,可提醒自行遵守法令與場域規範,直接轉真人
禁止直接回答,正式文件保證,翻譯能直接當正式文件嗎、會議記錄能當證明嗎,不得保證可作正式文件,可提醒僅供參考,直接轉真人
禁止直接回答,未上線功能與時程,什麼時候上會員、何時有購物車、未來會不會做,不得承諾未定案內容與時程,避免跳票風險,可回覆目前第一版未提供，若需確認請聯繫客服
禁止直接回答,商務合作與代理條件,想做代理、批發條件、合作抽成,不得由 AI 自行報價或承諾條件,屬商務洽談,直接轉真人
必須轉真人,情緒客訴,很爛、我要投訴、你們都沒回、我要退貨,先安撫，再轉真人,不得與使用者爭辯,優先提供客服管道
必須轉真人,安全風險,發熱、冒煙、充電異常、疑似危險,立即停止使用並轉真人,不得只給一般建議,標示高優先
必須轉真人,連續排除失敗,同一問題已依建議處理 3 次仍失敗,停止重複回覆，轉真人,避免使用者挫折,高優先
必須轉真人,個資與隱私疑慮,資料會不會外流、我要刪資料、我要行使個資權利,可先提供客服信箱，再轉真人,不可忽略法務性質,高優先
必須轉真人,到店與預約異常,預約沒回、改時間、現場接待確認,直接轉真人,避免白跑,高優先
